CODGEO;SNHM18;SNHMC18;SNHMP18;SNHME18;SNHMO18;SNHMF18;SNHMFC18;SNHMFP18;SNHMFE18;SNHMFO18;SNHMH18;SNHMHC18;SNHMHP18;SNHMHE18;SNHMHO18;SNHM1818;SNHM2618;SNHM5018;SNHMF1818;SNHMF2618;SNHMF5018;SNHMH1818;SNHMH2618;SNHMH5018
15;12.006108760088;21.9107848133693;13.8659036614562;10.1876196414747;10.5697750226973;11.1219640936994;18.6770041296015;12.971100908509;9.99565319747737;9.68765225128706;12.679285784298;23.6253257225772;14.6732594645546;10.7526624832648;10.7572484123802;9.44932023673056;11.869496643363;13.3474029253784;9.23332253234526;11.0960027707272;11.8956926785045;9.60162310296626;12.4560201257076;14.4977994826536
16;13.2837436710582;24.3567045280131;14.8382967931163;10.5142205990505;11.2412836761064;12.0346786772184;20.5972042083563;13.8066856942567;10.3366191356096;10.2825304653261;14.1798816935869;26.268243129356;15.6874653258442;11.0579294577937;11.4689508672684;9.67755832938665;12.9206660746546;15.42455981657;9.43301243709226;11.9257532389229;13.2260643216161;9.8586085170773;13.6218845964316;17.0479634253702
17;13.0932799259103;24.27315765049;14.5606261140326;10.4771839496787;10.9160711191343;11.8910943682134;20.6685306902148;13.4452521286724;10.320428458317;9.74442750007128;13.9833510092333;26.0866417484068;15.4836606164834;10.8552678772526;11.1173104150816;9.45734754549172;12.9052519509087;15.172486973946;9.19853535833398;11.8762987550913;13.1188183539433;9.65779688913294;13.6501884673042;16.7500291023011
18;13.2221286951104;23.7079371523793;14.6472193777623;10.5352562778485;11.0771270333364;11.8578400150461;19.9127285034331;13.4237387369851;10.3787931752144;9.96635860159255;14.1557788200955;25.4293411135688;15.5363056782684;10.9805625740165;11.3399900734104;9.78511890963894;12.9385704035937;15.0701371989597;9.48775115414027;11.7748598749706;12.8629842899918;9.98870058303283;13.7236936408198;16.6285560629813
19;12.8565404533215;22.8377408992392;14.412304335472;10.282005051723;10.8950726958824;11.7113244060666;19.7496905602847;13.255635926592;10.112814235921;10.0671683714223;13.6697693703005;24.4271425297921;15.2864362734801;10.7570295714383;11.0867379730188;9.57619381776794;12.6979637806818;14.3870292494886;9.30170749547013;11.6668373510677;12.6173042264938;9.76657224041106;13.4082823144414;15.744010810342
21;14.1057312658497;24.4630529291716;14.8205186930309;10.8362716244283;11.3048235574153;12.6906161749703;20.9854655390013;13.6786982357826;10.6062235866024;10.1939532398551;15.1343501956205;26.3174672179316;15.7751730398368;11.3989497888473;11.5538369583834;9.80254633484396;13.8914531730057;16.5593253611285;9.40158318990284;12.6824747738854;14.205351053369;10.1153361428737;14.7473391536788;18.3301793429656
22;12.998421414444;24.103800756918;14.5605323372697;10.5061664087834;10.8326247867574;11.800539089807;20.7747111830036;13.4434267861672;10.3224769991936;9.84332887620634;13.8450921006837;25.6251554849094;15.4705791245598;11.0233632208167;11.0805281447584;9.66631639702749;12.8182538789308;14.9564697926665;9.40322562660809;11.780517011841;12.9059760122569;9.85107843724249;13.5427916070183;16.4555380014806
23;12.033345875916;20.4527304479454;14.101692332472;10.3433810208298;10.4576484176227;11.5052125727662;18.4917447272134;13.7182686942774;10.1998309624541;9.36719218898863;12.420754272172;21.5947961194941;14.4517533723503;10.753458806425;10.6428781431122;9.47266037055043;11.7957183591134;13.4493068146539;9.44295269319719;11.3389505339076;12.4905703041078;9.49280377327542;12.1176902992226;14.2332702106073
24;12.392544215424;22.1188019726153;14.0967376590492;10.3306744112091;10.7190447494257;11.4779262303799;19.1264272264091;13.1810577586667;10.1989819640316;9.69371793612506;13.0701616298287;23.7359991128372;14.8924434649332;10.6785509119826;10.9423520324531;9.38592527536382;12.0991174593708;14.1588735982971;9.2283333524607;11.3182733195841;12.602708931113;9.49450190117259;12.6735160545079;15.361809727
25;13.5469508205373;23.5829904706653;14.4992081886005;10.6056760807385;11.5049483639605;12.0222042648253;20.3181729661441;13.25358531071;10.4543274660086;10.4353779678601;14.6197492693367;24.9485716584324;15.4648453966841;11.0283567555327;11.8270074513021;9.93990726046615;13.4739116925765;15.452546858732;9.46846438490457;12.0962452643464;13.0902515352046;10.2914277783594;14.4183749297526;17.1731242376822
